Title,ArticlesCount,isExtracted
Moroccan Arabic adjectives,1655,True
Moroccan Arabic adjective forms,129,False
Moroccan Arabic adjective plural forms,14,False
Moroccan Arabic adverbs,18,True
Moroccan Arabic demonstrative adverbs,97,False
Moroccan Arabic interrogative adverbs,6,False
Moroccan Arabic location adverbs,1,False
Moroccan Arabic conjunctions,7,False
Moroccan Arabic determiners,17,False
Moroccan Arabic interjections,10,False
Moroccan Arabic terms derived from participles,6,False
Moroccan Arabic terms derived from passive participles,3,False
Moroccan Arabic morphemes,4,False
Moroccan Arabic terms suffixed with ي,1,False
Moroccan Arabic terms suffixed with ي (nisba),3,False
Moroccan Arabic terms suffixed with ي (nisba),1,False
Moroccan Arabic multiword terms,1,True
Moroccan Arabic nouns,108,True
Moroccan Arabic noun forms,1012,False
Moroccan Arabic noun dual forms,3,False
Moroccan Arabic noun paucal forms,1,False
Moroccan Arabic noun plural forms,3,True
Moroccan Arabic collective nouns,62,True
Moroccan Arabic nouns by derivation type,96,False
Moroccan Arabic relative nouns (nisba),1,False
Moroccan Arabic diminutive nouns,1,False
Moroccan Arabic nouns by gender,5,False
Moroccan Arabic terms with multiple genders,435,True
Moroccan Arabic masculine nouns,32,True
Moroccan Arabic terms with multiple genders,609,True
Moroccan Arabic nouns with multiple genders,32,False
Moroccan Arabic terms with multiple genders,3,True
Moroccan Arabic nouns with other-gender equivalents,32,False
Moroccan Arabic pluralia tantum,9,False
Moroccan Arabic proper nouns,9,True
Moroccan Arabic singulative nouns,31,False
Moroccan Arabic uncountable nouns,13,True
Moroccan Arabic verbal nouns,36,True
Moroccan Arabic numerals,30,True
Moroccan Arabic particles,63,False
Moroccan Arabic interrogative particles,8,False
Moroccan Arabic phrases,1,False
Moroccan Arabic phrasebook,5,False
Moroccan Arabic prepositional phrases,8,False
Moroccan Arabic proverbs,2,False
Moroccan Arabic prepositions,5,True
Moroccan Arabic prepositional phrases,22,False
Moroccan Arabic pronouns,2,True
Moroccan Arabic verbs,24,True
Moroccan Arabic verb forms,347,True
Moroccan Arabic participles,169,False
Moroccan Arabic active participles,13,False
Moroccan Arabic passive participles,9,False
Moroccan Arabic denominal verbs,5,False
Moroccan Arabic ditransitive verbs,6,False
Moroccan Arabic verbs by inflection type,6,False
Moroccan Arabic form-Iq verbs,181,True
Moroccan Arabic form-II verbs,20,True
Moroccan Arabic form-IIq verbs,123,False
Moroccan Arabic form-III verbs,3,False
Moroccan Arabic form-V verbs,18,False
Moroccan Arabic form-VI verbs,14,False
Moroccan Arabic form-VIII verbs,6,False
Moroccan Arabic form-X verbs,3,False
Moroccan Arabic form-XI verbs,6,False
Moroccan Arabic verbs with quadriliteral roots,2,False
Moroccan Arabic form-IIq verbs,20,False
Moroccan Arabic intransitive verbs,3,True
Moroccan Arabic verbs lacking forms,36,False
Moroccan Arabic reciprocal verbs,6,False
Moroccan Arabic transitive verbs,1,True
Moroccan Arabic ditransitive verbs,50,False
Moroccan Arabic appendices,6,False
Moroccan Arabic entry maintenance,5,False
Moroccan Arabic entries with topic categories using raw markup,1,False
Requests concerning Moroccan Arabic,14,False
Requests for cleanup in Moroccan Arabic entries,1,False
Requests for example sentences in Moroccan Arabic,41,False
Requests for native script for Moroccan Arabic terms,116,False
Requests for pronunciation in Moroccan Arabic entries,1,False
Requests for translations of Moroccan Arabic usage examples,1,False
Requests for transliteration of Moroccan Arabic terms,1,False
Moroccan Arabic terms with audio links,7,True
Moroccan Arabic terms with IPA pronunciation,362,True
Moroccan Arabic terms with redundant head parameter,1842,False
Moroccan Arabic terms with usage examples,10,True
Moroccan Arabic figures of speech,159,False
Moroccan Arabic proverbs,1,False
Moroccan Arabic modules,5,False
Moroccan Arabic data modules,3,False
Moroccan Arabic non-lemma forms,2,True
Moroccan Arabic adjective forms,277,False
Moroccan Arabic adjective plural forms,14,False
Moroccan Arabic noun forms,18,False
Moroccan Arabic noun dual forms,3,False
Moroccan Arabic noun paucal forms,1,False
Moroccan Arabic noun plural forms,3,True
Moroccan Arabic verb forms,62,True
Moroccan Arabic participles,169,False
Moroccan Arabic active participles,13,False
Moroccan Arabic passive participles,9,False
Moroccan Arabic sentences,5,False
Moroccan Arabic templates,2,False
Moroccan Arabic auto-table templates,4,False
Moroccan Arabic headword-line templates,4,True
Moroccan Arabic inflection-table templates,23,False
Moroccan Arabic verb inflection-table templates,2,True
Moroccan Arabic list templates,30,False
Moroccan Arabic reference templates,2,False
Moroccan Arabic terms by etymology,5,False
Moroccan Arabic borrowed terms,1,False
Moroccan Arabic learned borrowings from Arabic,13,False
Moroccan Arabic semi-learned borrowings from Arabic,9,False
Moroccan Arabic terms borrowed from Berber languages,4,False
Moroccan Arabic terms borrowed from English,11,False
Moroccan Arabic terms borrowed from French,8,True
Moroccan Arabic terms borrowed from Italian,71,False
Moroccan Arabic terms borrowed from Latin,3,False
Moroccan Arabic learned borrowings,4,False
Moroccan Arabic terms borrowed from Mozarabic,9,False
Moroccan Arabic terms borrowed from Old Galician-Portuguese,1,False
Moroccan Arabic terms borrowed from Old Spanish,1,False
Moroccan Arabic terms borrowed from Ottoman Turkish,5,False
Moroccan Arabic terms borrowed from Persian,11,False
Moroccan Arabic terms borrowed from Portuguese,5,False
Moroccan Arabic semi-learned borrowings,1,False
Moroccan Arabic terms borrowed from Spanish,4,True
Moroccan Arabic terms borrowed from Tashelhit,25,False
Moroccan Arabic calques,1,False
Moroccan Arabic compound terms,1,True
Moroccan Arabic doublets,55,False
Moroccan Arabic genericized trademarks,9,False
Moroccan Arabic inherited terms,1,False
Moroccan Arabic terms inherited from Proto-Semitic,1157,False
Moroccan Arabic onomatopoeias,1,False
Moroccan Arabic terms by suffix,4,False
Moroccan Arabic terms suffixed with ي,1,False
Moroccan Arabic terms suffixed with ي (nisba),3,False
Moroccan Arabic terms suffixed with ي (nisba),1,False
Moroccan Arabic terms by root,1,False
Moroccan Arabic terms borrowed from Berber languages,16,False
Moroccan Arabic terms derived from Tashelhit,11,False
Moroccan Arabic terms borrowed from Tashelhit,1,False
Moroccan Arabic terms derived from Egyptian languages,1,False
Moroccan Arabic terms derived from Semitic languages,1,False
Moroccan Arabic terms derived from Proto-Semitic,1,False
Moroccan Arabic terms inherited from Proto-Semitic,1,False
Moroccan Arabic terms derived from West Semitic languages,1,False
Moroccan Arabic terms borrowed from Arabic,1232,False
Moroccan Arabic learned borrowings from Arabic,13,False
Moroccan Arabic semi-learned borrowings from Arabic,9,False
Moroccan Arabic terms inherited from Arabic,4,True
Moroccan Arabic terms derived from Northwest Semitic languages,1157,False
Moroccan Arabic terms derived from Eastern Aramaic languages,5,False
Moroccan Arabic terms derived from Canaanite languages,3,False
Moroccan Arabic terms derived from Punic,1,False
Moroccan Arabic terms derived from Indo-European languages,1,False
Moroccan Arabic terms derived from Gaulish,1,False
Moroccan Arabic terms derived from Proto-Celtic,1,False
Moroccan Arabic terms derived from Germanic languages,1,False
Moroccan Arabic terms borrowed from English,9,False
Moroccan Arabic terms derived from German,8,False
Moroccan Arabic terms derived from Hellenic languages,1,False
Moroccan Arabic terms derived from Indo-Iranian languages,12,False
Moroccan Arabic terms derived from Persian,4,False
Moroccan Arabic terms borrowed from Persian,13,False
Moroccan Arabic terms derived from Classical Persian,5,False
Moroccan Arabic terms derived from Italic languages,1,False
Moroccan Arabic terms borrowed from Latin,19,False
Moroccan Arabic terms derived from Late Latin,4,False
Moroccan Arabic terms derived from Vulgar Latin,2,False
Moroccan Arabic terms derived from Romance languages,3,False
Moroccan Arabic terms borrowed from Italian,4,False
Moroccan Arabic terms derived from Oïl languages,3,False
Moroccan Arabic terms borrowed from French,80,True
Moroccan Arabic terms derived from Middle French,71,False
Moroccan Arabic terms derived from West Iberian languages,1,False
Moroccan Arabic terms borrowed from Mozarabic,1,False
Moroccan Arabic terms derived from Old Galician-Portuguese,1,False
Moroccan Arabic terms borrowed from Old Galician-Portuguese,1,False
Moroccan Arabic terms derived from Old Spanish,1,False
Moroccan Arabic terms borrowed from Old Spanish,5,False
Moroccan Arabic terms derived from Portuguese,5,False
Moroccan Arabic terms borrowed from Portuguese,1,False
Moroccan Arabic terms derived from Spanish,1,True
Moroccan Arabic terms borrowed from Spanish,28,True
Moroccan Arabic terms derived from Proto-Indo-European,25,False
Moroccan Arabic terms derived from Sino-Tibetan languages,1,False
Moroccan Arabic terms derived from Turkic languages,1,False
Moroccan Arabic terms borrowed from Ottoman Turkish,12,False
Moroccan Arabic univerbations,11,False
Moroccan Arabic terms with unknown etymologies,4,False
Moroccan Arabic terms by lexical property,3,False
Moroccan Arabic terms with multiple genders,1,True
Moroccan Arabic terms by orthographic property,32,False
Moroccan Arabic terms by phonemic property,11,False
Moroccan Arabic 2-syllable words,534,False
Moroccan Arabic 3-syllable words,1046,False
Moroccan Arabic 4-syllable words,239,False
Moroccan Arabic 5-syllable words,13,False
Moroccan Arabic terms by semantic function,2,False
Moroccan Arabic ordinal numbers,62,False
Moroccan Arabic pro-forms,13,False
Moroccan Arabic interrogative pro-forms,6,False
Moroccan Arabic interrogative particles,1,False
Moroccan Arabic questions,1,False
Moroccan Arabic terms by usage,2,False
Moroccan Arabic dated terms,2,False
Moroccan Arabic derogatory terms,5,False
Moroccan Arabic informal terms,5,False
Moroccan Arabic childish terms,1,False
Moroccan Arabic nonstandard terms,2,False
Moroccan Arabic obsolete terms,1,False
Moroccan Arabic offensive terms,1,False
Moroccan Arabic ethnic slurs,2,False
Moroccan Arabic slang,2,False
Moroccan Arabic terms with archaic senses,7,False
Moroccan Arabic trademarks,1,False
Moroccan Arabic vulgarities,1,False
Terms derived from Moroccan Arabic,22,False
Central Atlas Tamazight terms borrowed from Moroccan Arabic,2,False
Dutch terms borrowed from Moroccan Arabic,72,False
English terms borrowed from Moroccan Arabic,8,False
French terms borrowed from Moroccan Arabic,11,False
Hebrew terms borrowed from Moroccan Arabic,20,False
Italian terms borrowed from Moroccan Arabic,2,False
Ladino terms borrowed from Moroccan Arabic,1,False
Norwegian Bokmål terms borrowed from Moroccan Arabic,1,False
Tarifit terms borrowed from Moroccan Arabic,1,False
Tashelhit terms borrowed from Moroccan Arabic,399,False
Catalan terms derived from Moroccan Arabic,2,False
Catalan terms borrowed from Moroccan Arabic,3,False
Central Atlas Tamazight terms derived from Moroccan Arabic,2,False
Central Atlas Tamazight terms borrowed from Moroccan Arabic,75,False
Dutch terms derived from Moroccan Arabic,72,False
Dutch terms borrowed from Moroccan Arabic,9,False
English terms derived from Moroccan Arabic,8,False
English terms borrowed from Moroccan Arabic,16,False
French terms derived from Moroccan Arabic,11,False
French terms borrowed from Moroccan Arabic,23,False
German terms derived from Moroccan Arabic,20,False
Hebrew terms derived from Moroccan Arabic,1,False
Hebrew terms borrowed from Moroccan Arabic,3,False
Italian terms derived from Moroccan Arabic,2,False
Italian terms borrowed from Moroccan Arabic,3,False
Ladino terms derived from Moroccan Arabic,1,False
Ladino terms borrowed from Moroccan Arabic,1,False
Norwegian Bokmål terms derived from Moroccan Arabic,1,False
Norwegian Bokmål terms borrowed from Moroccan Arabic,1,False
Portuguese terms derived from Moroccan Arabic,1,False
Tarifit terms derived from Moroccan Arabic,1,False
Tarifit terms borrowed from Moroccan Arabic,400,False
Tashelhit terms derived from Moroccan Arabic,399,False
Tashelhit terms borrowed from Moroccan Arabic,2,False
Wolof terms derived from Moroccan Arabic,2,False
User ary,1,False
User ary-0,2,False
User ary-2,1,False
